Grid_ID,Date,Latitude,Longitude,Rainfall_mm,Year,Month,Maximum_Daily_Rainfall_mm,Yearly_Maximum_Rainfall_mm,Monthly_Maximum_Rainfall_mm,Heavy_Rainfall_Days,Extreme_Rainfall_Days
PUNE_G001,2024-09-26,18.5,73.75,129.69529724121094,2024,9,129.69529724121094,129.69529724121094,129.69529724121094,4,1
PUNE_G001,2020-10-15,18.5,73.75,116.42317199707031,2020,10,129.69529724121094,116.42317199707031,116.42317199707031,1,1
PUNE_G001,2024-06-09,18.5,73.75,114.00235748291016,2024,6,129.69529724121094,129.69529724121094,114.00235748291016,4,1
PUNE_G001,2024-07-25,18.5,73.75,113.94840240478516,2024,7,129.69529724121094,129.69529724121094,113.94840240478516,4,1
PUNE_G001,2015-05-14,18.5,73.75,95.97357940673828,2015,5,129.69529724121094,95.97357940673828,95.97357940673828,2,0
PUNE_G001,2025-09-19,18.5,73.75,95.22933959960938,2025,9,129.69529724121094,95.22933959960938,95.22933959960938,1,0
PUNE_G001,2017-10-14,18.5,73.75,94.67606353759766,2017,10,129.69529724121094,94.67606353759766,94.67606353759766,1,0
PUNE_G001,2022-10-18,18.5,73.75,92.63134002685547,2022,10,129.69529724121094,92.63134002685547,92.63134002685547,2,0
PUNE_G001,2015-11-23,18.5,73.75,92.34730529785156,2015,11,129.69529724121094,95.97357940673828,92.34730529785156,2,0
PUNE_G001,2019-07-27,18.5,73.75,78.68441009521484,2019,7,129.69529724121094,78.68441009521484,78.68441009521484,2,0
PUNE_G002,2020-10-15,18.5,74.0,101.73873901367188,2020,10,101.73873901367188,101.73873901367188,101.73873901367188,1,0
PUNE_G002,2022-10-18,18.5,74.0,96.9753646850586,2022,10,101.73873901367188,96.9753646850586,96.9753646850586,1,0
PUNE_G002,2019-09-26,18.5,74.0,89.62480926513672,2019,9,101.73873901367188,89.62480926513672,89.62480926513672,1,0
PUNE_G002,2021-12-02,18.5,74.0,87.2997817993164,2021,12,101.73873901367188,87.2997817993164,87.2997817993164,1,0
PUNE_G002,2024-07-25,18.5,74.0,67.2551040649414,2024,7,101.73873901367188,67.2551040649414,67.2551040649414,1,0
PUNE_G002,2020-06-03,18.5,74.0,55.2835807800293,2020,6,101.73873901367188,101.73873901367188,55.2835807800293,1,0
PUNE_G002,2021-07-24,18.5,74.0,53.84123611450195,2021,7,101.73873901367188,87.2997817993164,53.84123611450195,1,0
PUNE_G002,2015-11-23,18.5,74.0,53.06389617919922,2015,11,101.73873901367188,53.06389617919922,53.06389617919922,0,0
PUNE_G002,2019-09-25,18.5,74.0,52.73995590209961,2019,9,101.73873901367188,89.62480926513672,89.62480926513672,1,0
PUNE_G002,2016-08-04,18.5,74.0,50.14163589477539,2016,8,101.73873901367188,50.14163589477539,50.14163589477539,0,0
PUNE_G003,2019-07-28,18.75,73.75,95.43598175048828,2019,7,95.43598175048828,95.43598175048828,95.43598175048828,3,0
PUNE_G003,2020-10-15,18.75,73.75,90.98828887939453,2020,10,95.43598175048828,90.98828887939453,90.98828887939453,2,0
PUNE_G003,2019-07-27,18.75,73.75,86.13514709472656,2019,7,95.43598175048828,95.43598175048828,95.43598175048828,3,0
PUNE_G003,2024-07-25,18.75,73.75,77.22071838378906,2024,7,95.43598175048828,77.22071838378906,77.22071838378906,1,0
PUNE_G003,2025-08-20,18.75,73.75,76.158447265625,2025,8,95.43598175048828,76.158447265625,76.158447265625,1,0
PUNE_G003,2021-12-02,18.75,73.75,74.08651733398438,2021,12,95.43598175048828,74.08651733398438,74.08651733398438,1,0
PUNE_G003,2020-06-03,18.75,73.75,73.4837875366211,2020,6,95.43598175048828,90.98828887939453,73.4837875366211,2,0
PUNE_G003,2017-08-21,18.75,73.75,70.03514099121094,2017,8,95.43598175048828,70.03514099121094,70.03514099121094,1,0
PUNE_G003,2015-06-24,18.75,73.75,67.5672607421875,2015,6,95.43598175048828,67.5672607421875,67.5672607421875,2,0
PUNE_G003,2015-11-23,18.75,73.75,67.47870635986328,2015,11,95.43598175048828,67.5672607421875,67.47870635986328,2,0
PUNE_G004,2020-10-15,18.75,74.0,97.4759292602539,2020,10,97.4759292602539,97.4759292602539,97.4759292602539,1,0
PUNE_G004,2017-08-21,18.75,74.0,80.99698638916016,2017,8,97.4759292602539,80.99698638916016,80.99698638916016,1,0
PUNE_G004,2022-09-08,18.75,74.0,73.1190185546875,2022,9,97.4759292602539,73.1190185546875,73.1190185546875,1,0
PUNE_G004,2015-11-23,18.75,74.0,62.67862319946289,2015,11,97.4759292602539,62.67862319946289,62.67862319946289,0,0
PUNE_G004,2019-07-28,18.75,74.0,62.53308868408203,2019,7,97.4759292602539,62.53308868408203,62.53308868408203,0,0
PUNE_G004,2024-07-25,18.75,74.0,60.06220245361328,2024,7,97.4759292602539,60.06220245361328,60.06220245361328,0,0
PUNE_G004,2020-06-03,18.75,74.0,58.186344146728516,2020,6,97.4759292602539,97.4759292602539,58.186344146728516,1,0
PUNE_G004,2021-12-02,18.75,74.0,57.193359375,2021,12,97.4759292602539,57.193359375,57.193359375,0,0
PUNE_G004,2016-10-02,18.75,74.0,53.49310302734375,2016,10,97.4759292602539,53.49310302734375,53.49310302734375,0,0
PUNE_G004,2019-07-27,18.75,74.0,53.27357482910156,2019,7,97.4759292602539,62.53308868408203,62.53308868408203,0,0
