date,grid_id,risk_score,risk_level,trend,anomaly,temporal_rainfall,vulnerability
2026-08-20,PUNE_G002,31.4,LOW,STABLE,30.4,24.8,41.07
2026-08-20,PUNE_G003,50.0,MODERATE,STABLE,47.9,38.5,80.62
2026-08-20,PUNE_G004,39.8,LOW,STABLE,37.8,31.1,53.83
2026-08-21,PUNE_G001,33.8,LOW,STABLE,30.4,29.9,44.69
2026-08-21,PUNE_G002,31.5,LOW,STABLE,28.6,28.0,41.07
2026-08-21,PUNE_G003,50.0,MODERATE,STABLE,49.0,31.2,80.62
2026-08-21,PUNE_G004,38.6,LOW,STABLE,34.5,31.9,53.83
2026-08-22,PUNE_G001,32.5,LOW,STABLE,30.7,25.1,44.69
2026-08-22,PUNE_G002,33.3,LOW,STABLE,34.8,24.6,41.07
2026-08-22,PUNE_G003,50.0,MODERATE,STABLE,43.7,35.9,80.62
2026-08-22,PUNE_G004,39.2,LOW,STABLE,39.1,27.1,53.83
2026-08-23,PUNE_G001,32.0,LOW,STABLE,28.5,26.6,44.69
2026-08-23,PUNE_G002,30.1,LOW,STABLE,28.7,23.0,41.07
2026-08-23,PUNE_G003,50.0,MODERATE,STABLE,44.9,33.9,80.62
2026-08-23,PUNE_G004,39.0,LOW,STABLE,39.7,25.5,53.83
2026-08-24,PUNE_G001,32.4,LOW,STABLE,30.5,25.0,44.69
2026-08-24,PUNE_G002,30.9,LOW,STABLE,32.1,20.5,41.07
2026-08-24,PUNE_G003,46.7,MODERATE,STABLE,38.2,31.1,80.62
2026-08-24,PUNE_G004,36.1,LOW,STABLE,33.0,26.0,53.83
2026-08-25,PUNE_G001,32.4,LOW,STABLE,27.9,28.8,44.69
2026-08-25,PUNE_G002,29.8,LOW,STABLE,27.0,24.6,41.07
2026-08-25,PUNE_G003,46.4,MODERATE,STABLE,40.4,26.9,80.62
2026-08-25,PUNE_G004,39.2,LOW,STABLE,37.6,29.5,53.83
2026-08-26,PUNE_G001,34.9,LOW,STABLE,34.1,27.9,44.69
2026-08-26,PUNE_G002,29.3,LOW,STABLE,30.1,18.3,41.07
2026-08-26,PUNE_G003,45.6,MODERATE,STABLE,38.4,27.1,80.62
2026-08-26,PUNE_G004,33.9,LOW,STABLE,30.5,22.4,53.83
2026-08-27,PUNE_G001,31.6,LOW,STABLE,27.1,27.5,44.69
2026-08-27,PUNE_G002,27.5,LOW,STABLE,23.3,22.5,41.07
